id,name,new_id
295363753921281,Chris White,3477
613631835423903,Stewart Hosie MP,3193
105367536223828,Kennedy Stewart,1716
561507140593570,Hans Andersen,4812
1454302588159101,Scott Emerson,3185
585862021507535,Vittorio Ferraresi,4903
404900139669473,Angela Crawley MP,1079
711288605584019,Dr. Jorge Silva,5874
238903929634988,Dariusz Rosati,22
417611728255943,Lynn Westmoreland,5703
118388888197666,Ed Husic MP,4185
71072295365,Paula Bertol,1908
254945391382154,Andy Fillmore,4042
6290032613,Deval Patrick,3345
271689652955993,Valeria Fedeli,4966
470717443079516,"Wayne Anderson, United Conservative MLA for Highwood",5183
176548369099092,Barbara Lee,4884
370319116027,Andrzej Halicki,3301
404488589602913,Helmut Brandt,5191
91487861770,Sabine Verheyen,5713
18050788524,Rona Ambrose,2060
199793346871881,Benedita da Silva,639
762308423834688,Alessia Rotta,4286
216342268645,Tony Abbott,519
653930611303743,Anabel Acosta Islas,4693
153479671489789,Jane Philpott,1680
113158811451,Edward Scicluna,5147
414809308591481,Pablo Iglesias,5425
280996218747910,Tim Richardson,2788
258656010969084,Gonzaga Patriota,1445
586751814690068,Joni Ernst,4687
1667321103532155,Metiria Turei MP,3006
267044410338956,Bogdan Gheorghiu,2150
1414924505466631,Joshua Morris MP,3305
62373912330,Daniel Hannan,4417
285567581556423,"Hon. Candice Bergen, MP",674
127567737259528,Barbara L'Italien,278
231656403567259,Lorenz Caffier,119
452935231455081,Senador Wilder Morais,2952
105589846177501,"Hans-Peter Friedrich, CSU",5482
611619002239146,Senator Don Plett,3380
8569265134,Alexandre Cloutier,1246
174852262702077,Alistair Burt,2019
1155718097801871,Marco A. Mena,847
114486688586371,Tom McGee,1174
1583289685223022,Jonathan Coleman,1748
417477318355776,Steph Ryan for Euroa,1982
528887520528857,Randy Boissonnault,468
12173141558,Amanda Rishworth MP,4749
411935132202922,"Karin Strenz, MdB",2591
886968011353216,Stephen Crabb,5012
163923497121139,Andreas Lenz,5422
268166203199602,Hector Gutierrez de la Garza,3733
809004655861249,Andy Burnham,4356
370525506320360,"Constanze Krehl, MdEP",2599
1114667701881963,Diane Lebouthillier,3541
456395114442888,Patrick Labaune,5200
234233933684975,Kirsten Kappert-Gonther,4496
175361972490283,Simon Busuttil,3719
1565513493746791,Senator Linda Frum,922
116868855036962,Craig Ondarchie MP,5718
1089311811153278,Michael Atkinson,2103
480535868644583,Wilfried Oellers,1299
104817488512,Peter MacKay,5285
158595174276816,Deane Rykerson for Kittery,1389
15221804966,Sir Alan Haselhurst,3697
148950081810015,Mike Sonko.,2136
124174484304839,Juan Carlos Varela,2543
500132113477953,Indio da Costa,5230
111295601527,Mike Kelly MP,1220
97640646271,Steven MacKinnon,298
343938391806,Leif Lahn Jensen,4412
142247399137426,Hugh McDermott MP: State Member for Prospect,1475
194243072092,Lisa Nandy,747
1380498935559739,Jenny Salesa MP,2514
390925417751473,Erling Bonnesen,1616
588086784652088,Jodi McKay MP - Member for Strathfield,5312
611816152280592,Rita Stockhofe,2127
193382420696960,Pierfrancesco Maran,3690
456712937738176,Laura Castelli,719
257633467585013,Keiko Ota,3805
729931240351201,Andreas Schwarz,1711
175335262547741,Dan Kildee,5140
183481715188303,Theodor Stolojan,4555
323347281121134,Erin McClelland,702
513032565431680,Alexander Funk,1318
607249992636305,Gianluca Vacca,4057
475470169289304,Dan Ruimy MP,2321
157267610953537,Dayne Walling,4794
608278342616098,Marc Tanguay,3173
306796832807017,Carlos Coelho,4103
615832768499515,Marco Affronte,3678
293007130807855,Michael Vietz,3620
618721081566600,Representative Ryan Fecteau,1695
205032482983580,Derek Thomas,3645
275632269117054,Daniel Constantin,3278
10714392889,Simone Baldelli,1891
